scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree27,tree,9,4,3,256,0.9956054688547737,0.9690886378043025,0.9903945120707552,0.008621651629800907,0.002545200367040104,0.0017319868953578638
S0-SM_tree27,tree,9,5,4,256,0.9987304687732831,0.9706073515832209,0.9916054486647548,0.0031249999185092737,0.0015187137789183514,0.001210936593999584
S0-SM_tree27,tree,9,6,5,256,0.9998372395843035,0.9717022910530486,0.9925032989318566,0.0011067708110203962,0.0010949394698278325,0.0008978502671017968
S0-SM_tree27,tree,9,7,6,256,1.0,0.972434758244952,0.9931044345670612,0.0001627604156965389,0.0007324671919032716,0.0006011356352046016
S0-SM_tree27,tree,9,8,7,256,1.0,0.9731121206736877,0.993670217925559,0.0,0.0006773624287356866,0.0005657833584978818
S0-SM_tree28,tree,10,1,0,256,0.8883384003265562,0.9494483790107452,0.9494483790107452,0.8883384003265562,0.9494483790107452,0.9494483790107452
S0-SM_tree28,tree,10,2,1,256,0.9557696869360484,0.9557355904772951,0.9818570984521751,0.06743128660949205,0.006287211466549758,0.03240871944142975
S0-SM_tree28,tree,10,3,2,256,0.9811639415629402,0.9582580018949001,0.9851739929350176,0.025394254626891908,0.002522411417605147,0.003316894482842551
S0-SM_tree28,tree,10,4,3,256,0.9912089651917352,0.9598455757662363,0.9867651283809262,0.010045023628794992,0.0015875738713360954,0.0015911354459085853
S0-SM_tree28,tree,10,5,4,256,0.9968789459019489,0.9609597208216769,0.9879383933484764,0.005669980710213584,0.0011141450554406768,0.0011732649675502767
S0-SM_tree28,tree,10,6,5,256,0.999384469738597,0.9619478022585648,0.9887400300646751,0.002505523836648215,0.0009880814368878471,0.0008016367161987285
S0-SM_tree28,tree,10,7,6,256,0.999763257590574,0.9622904685147172,0.9890719582228614,0.00037878785197707765,0.00034266625615249346,0.0003319281581863694
S0-SM_tree28,tree,10,8,7,256,1.0,0.9626055872330214,0.9892089664933508,0.00023674240942592878,0.0003151187183041415,0.00013700827048925782
S0-SM_tree29,tree,7,1,0,256,0.880059501377286,0.9500216154139951,0.9500216154139951,0.880059501377286,0.9500216154139951,0.9500216154139951
S0-SM_tree29,tree,7,2,1,256,0.9410080792982005,0.957821589132035,0.9864114181736329,0.06094857792091444,0.007799973718039838,0.03638980275963763
S0-SM_tree29,tree,7,3,2,256,0.9638869090158066,0.9612707325025831,0.9901617684048606,0.022878829717606172,0.00344914337054808,0.0037503502312278263
S0-SM_tree29,tree,7,4,3,256,0.9701051437289572,0.964098999818803,0.9924277276577894,0.006218234713150503,0.0028282673162198513,0.0022659592529287536
S0-SM_tree29,tree,7,5,4,256,0.9758927180475732,0.9655376414183767,0.9931381950961546,0.0057875743186159585,0.0014386415995736868,0.0007104674383653043
S0-SM_tree29,tree,7,6,5,256,0.9773856028652519,0.9669692176263671,0.9937483886612022,0.0014928848176787193,0.0014315762079905037,0.0006101935650474669
S0-SM_tree29,tree,7,7,6,256,0.9776785714551809,0.9681348401192835,0.9942081570397966,0.0002929685899289349,0.0011656224929163517,0.00045976837859439384
S0-SM_tree3,tree,11,1,0,256,0.9158430835214784,0.9461646394276861,0.9461646394276861,0.9158430835214784,0.9461646394276861,0.9461646394276861
S0-SM_tree3,tree,11,2,1,256,0.9718802473792797,0.959058111714719,0.9841232597149782,0.05603716385780126,0.012893472287032942,0.037958620287292154
S0-SM_tree3,tree,11,3,2,256,0.9900354772224091,0.9636202732041388,0.9873217217641254,0.018155229843129443,0.0045621614894196805,0.0031984620491470345
S0-SM_tree3,tree,11,4,3,256,0.9946747295682143,0.9665292386074738,0.9884060481891089,0.004639252345805289,0.0029089654033351148,0.0010843264249836664
