scene_key,target_class,viewpoint_1,viewpoint_2,ordered_label,best_constituent_single,best_box_score,noisy_or_best_iou_score,support_weighted_or_score,geometry_prior_selector_score,geometry_calibrated_selector_score,viewpoint_cell_prior_selector_score,geometry_weighted_or_best_iou_score,geometry_weighted_or_mean_iou_score,viewpoint_cell_weighted_or_best_iou_score,hybrid_geometry_cell_weighted_or_best_iou_score
S0-SM_container_13,container,elhigh-radnear-az090,ellow-radnear-az225,elhigh-radnear-az090 + ellow-radnear-az225,0.955274091924565,0.955274091924565,0.9814897343522943,0.9693884679518849,0.9243960410761644,0.9243960410761644,0.955274091924565,0.981335569944797,0.9692362043126782,0.9816921181203547,0.9814900650485562
S0-SM_container_13,container,elhigh-radnear-az090,ellow-radnear-az315,elhigh-radnear-az090 + ellow-radnear-az315,0.9602085164954416,0.9602085164954416,0.9858613493463843,0.9715863375801236,0.9243960410761644,0.9243960410761644,0.9602085164954416,0.9853059728242223,0.9710390027632113,0.9860767000074975,0.9856473734177362
S0-SM_container_13,container,elhigh-radnear-az090,elmid-radfar-az000,elhigh-radnear-az090 + elmid-radfar-az000,0.9243960410761644,0.9243960410761644,0.9568928036333949,0.9555407039150431,0.9243960410761644,0.9243960410761644,0.9243960410761644,0.9569432546613527,0.9555910836551612,0.9567917551463548,0.9568633262328249
S0-SM_container_13,container,elhigh-radnear-az090,elmid-radmid-az090,elhigh-radnear-az090 + elmid-radmid-az090,0.9512390255839024,0.9512390255839024,0.9779032397681225,0.9675854802242293,0.9512390255839024,0.9512390255839024,0.9512390255839024,0.9786920112978514,0.9683659295042223,0.9784501334267418,0.9785795249169025
S0-SM_container_13,container,elhigh-radnear-az090,elmid-radmid-az270,elhigh-radnear-az090 + elmid-radmid-az270,0.9396982987161911,0.9396982987161911,0.974948733525731,0.9659527349914325,0.9396982987161911,0.9396982987161911,0.9396982987161911,0.9756513964436984,0.9666489143330201,0.9751687494658284,0.9754251938586553
S0-SM_container_13,container,elhigh-radnear-az090,elmid-radnear-az180,elhigh-radnear-az090 + elmid-radnear-az180,0.955811884717562,0.955811884717562,0.9828521610856352,0.9700556483167824,0.955811884717562,0.955811884717562,0.955811884717562,0.9835980215941438,0.9707917978902196,0.9832036320721862,0.9834151078048341
S0-SM_container_13,container,elhigh-radnear-az135,ellow-radfar-az045,elhigh-radnear-az135 + ellow-radfar-az045,0.9525636552102412,0.9525636552102412,0.9810453051702345,0.9716994495302348,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9810803802489266,0.9717341904687805,0.981196675322174,0.9811206918120888
S0-SM_container_13,container,elhigh-radnear-az135,ellow-radnear-az000,elhigh-radnear-az135 + ellow-radnear-az000,0.9549362562438546,0.9549362562438546,0.9815867774943107,0.9766495972634652,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9813451365570389,0.976409171730563,0.979611268247606,0.9805536255358993
S0-SM_container_13,container,elhigh-radnear-az135,ellow-radnear-az135,elhigh-radnear-az135 + ellow-radnear-az135,0.9525636552102412,0.9525636552102412,0.9814527096534815,0.9663427183177034,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9815871996145007,0.9664751377335747,0.9817981072842147,0.9816761844523899
S0-SM_container_13,container,elhigh-radnear-az135,ellow-radnear-az225,elhigh-radnear-az135 + ellow-radnear-az225,0.955274091924565,0.955274091924565,0.9816314417708499,0.9814632881135839,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9817746976488841,0.9816065194518582,0.981973610315618,0.9818565113179536
S0-SM_container_13,container,elhigh-radnear-az135,ellow-radnear-az315,elhigh-radnear-az135 + ellow-radnear-az315,0.9602085164954416,0.9602085164954416,0.9860000145243203,0.983658111147191,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.985895205374406,0.9835535509353077,0.986345711039979,0.9860878401434113
S0-SM_container_13,container,elhigh-radnear-az135,elmid-radfar-az000,elhigh-radnear-az135 + elmid-radfar-az000,0.9525636552102412,0.9525636552102412,0.9809506152774782,0.9676675681833934,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9813181785132573,0.9680301542473405,0.9811911521192597,0.9812514876831523
