scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_barrel_2,barrel,14,4.857142857142857,3.0,21,0.7857142857142857,0.7857142857142857,1.0,0.5928571428571429,0.5619330860396209,0.6608022791998727,Q2 mid-low clutter
S0-SM_barrel_20,barrel,10,7.4,6.0,15,0.9,0.9,1.0,0.6577083334326744,0.6611124927591814,0.7569905877113342,Q4 high clutter
S0-SM_barrel_21,barrel,12,8.916666666666666,8.0,18,0.9166666666666666,0.9166666666666666,1.0,0.71875,0.6765444678837577,0.7700321425994238,Q4 high clutter
S0-SM_barrel_3,barrel,10,6.7,4.0,20,0.7,0.7,1.0,0.55,0.5173395232240161,0.5917034566402435,Q3 mid-high clutter
S0-SM_barrel_4,barrel,16,3.9375,2.5,13,1.0,1.0,1.0,0.7711313682377632,0.7744130234358733,0.8681100606918335,Q1 low clutter
S0-SM_barrel_5,barrel,12,4.583333333333333,1.0,21,1.0,1.0,1.0,0.7083333333333334,0.6916787507402372,0.8321246157089869,Q2 mid-low clutter
S0-SM_barrel_6,barrel,16,3.8125,1.5,20,1.0,1.0,1.0,0.7188461074487321,0.721567307124432,0.8529983051121235,Q1 low clutter
S0-SM_barrel_7,barrel,11,5.090909090909091,2.0,20,1.0,1.0,1.0,0.8112373748756568,0.7698422049907269,0.8631310842253945,Q2 mid-low clutter
S0-SM_barrel_8,barrel,11,4.818181818181818,3.0,17,0.9090909090909091,0.9090909090909091,1.0,0.6,0.6015030098655177,0.7376258481632579,Q2 mid-low clutter
S0-SM_container_1,container,10,3.0,1.0,19,1.0,1.0,1.0,0.9291666666977108,0.9361176583687183,0.9655085206031799,Q1 low clutter
S0-SM_container_10,container,12,4.416666666666667,3.0,12,1.0,1.0,1.0,0.9847106483109571,0.9390176105837602,0.9673567116260529,Q2 mid-low clutter
S0-SM_container_11,container,16,3.5625,3.5,9,1.0,1.0,1.0,0.960997024245028,0.9456129242441316,0.9682843014597893,Q1 low clutter
S0-SM_container_12,container,9,4.111111111111111,3.0,9,1.0,1.0,1.0,0.9508449088920047,0.9443781461611995,0.9648204180929396,Q2 mid-low clutter
S0-SM_container_13,container,14,4.428571428571429,3.5,10,1.0,1.0,1.0,0.9411231597235041,0.9421177739055481,0.9699683146817344,Q2 mid-low clutter
S0-SM_container_14,container,10,7.1,3.0,30,1.0,1.0,1.0,0.9063472252541945,0.9425444668856556,0.9675334453582763,Q3 mid-high clutter
S0-SM_container_15,container,14,4.785714285714286,4.0,15,1.0,1.0,1.0,0.9566764473207295,0.9440920071587134,0.9673349389008113,Q2 mid-low clutter
S0-SM_container_16,container,10,5.1,4.0,16,1.0,1.0,1.0,0.9784071432247758,0.953361805228053,0.9714297592639923,Q2 mid-low clutter
S0-SM_container_17,container,11,5.545454545454546,3.0,21,1.0,1.0,1.0,0.933671719018859,0.9485821245026248,0.9699543172662909,Q3 mid-high clutter
S0-SM_container_18,container,13,5.3076923076923075,3.0,23,1.0,1.0,1.0,0.9712676776075373,0.9437439709709999,0.9657502587024982,Q2 mid-low clutter
S0-SM_container_2,container,7,3.2857142857142856,3.0,4,1.0,1.0,1.0,1.0,0.937160927141648,0.9621600423540387,Q1 low clutter
S0-SM_container_21,container,10,4.7,4.5,7,1.0,1.0,1.0,0.9396388908206589,0.9299263571039631,0.9635153830051422,Q2 mid-low clutter
S0-SM_container_22,container,10,4.6,4.5,8,0.9,0.9,1.0,0.862037203013897,0.8552489258006964,0.872277706861496,Q2 mid-low clutter
S0-SM_container_23,container,11,5.2727272727272725,4.0,12,1.0,1.0,1.0,0.9712256504198561,0.9550785119709331,0.9706873406063427,Q2 mid-low clutter
S0-SM_container_3,container,10,4.9,4.0,14,1.0,1.0,1.0,0.975,0.9415280485960043,0.9619371652603149,Q2 mid-low clutter
S0-SM_container_30,container,17,5.470588235294118,5.0,13,1.0,1.0,1.0,0.9677360533756646,0.946565753684314,0.9664192410076365,Q3 mid-high clutter
S0-SM_container_4,container,10,2.2,0.5,9,1.0,1.0,1.0,0.9276785715483129,0.9300656171423174,0.9599166572093963,Q1 low clutter
S0-SM_container_5,container,10,2.9,3.0,6,1.0,1.0,1.0,0.9584027780675226,0.9385799762546817,0.966608190536499,Q1 low clutter
S0-SM_container_6,container,5,3.6,3.0,5,1.0,1.0,1.0,0.9928125,0.947864744468071,0.9710590600967407,Q1 low clutter
S0-SM_container_7,container,11,4.2727272727272725,4.0,16,1.0,1.0,1.0,0.9359217175160243,0.9523923264415505,0.9715628190474077,Q2 mid-low clutter
